request_number,date_unloading,volume_unloaded
279635,2023-10-16,29.7783
42737,2024-03-24,30.0
21814,2024-03-13,30.0
5976,2024-03-03,30.0
141227,2024-01-27,30.0
152779,2024-02-01,30.0
10012,2024-03-08,30.0
7885,2024-03-04,30.0
160646,2023-12-06,30.0
168163,2023-12-10,30.0
69507,2024-02-10,30.0
136851,2024-01-25,30.0
144332,2024-01-29,29.8185
80244,2024-02-18,30.0
285953,2023-10-20,30.0
205641,2024-01-01,30.0
175673,2023-12-14,30.0
68871,2024-02-10,30.0
79318,2024-02-17,30.0
263957,2023-10-08,30.0
144361,2024-01-29,30.0
52456,2024-03-30,30.0
158279,2023-12-04,30.0
281380,2023-10-17,30.0
268706,2023-10-11,30.0
186429,2023-12-21,29.8824
286536,2023-10-20,30.0
214225,2023-11-07,30.0
253520,2023-10-02,29.901600000000002
238849,2023-11-23,30.0
274686,2023-10-14,30.0
60918,2024-02-04,30.0
128350,2024-01-22,30.0
293853,2023-10-24,29.8338
106923,2024-01-16,30.0
282304,2023-10-18,30.0
305093,2023-10-30,30.0
114075,2024-01-16,30.0
40727,2024-03-23,30.0
35232,2024-03-21,30.0
308272,2023-11-01,30.0
304242,2023-10-30,30.0
287640,2023-10-21,29.8785
163497,2023-12-07,30.0
214652,2023-11-07,30.0
122456,2024-01-19,30.0
146358,2024-01-29,30.0
37306,2024-03-21,30.0
93854,2024-02-28,30.0
290262,2023-10-22,30.0
16519,2024-03-09,29.8653
112977,2024-01-15,30.0
143943,2024-01-28,30.0
245758,2023-11-27,30.0
50627,2024-03-31,30.0
164704,2023-12-08,30.0
100279,2024-01-10,30.0
174496,2023-12-14,29.7753
100440,2024-01-10,30.0
13612,2024-03-07,30.0
276301,2023-10-15,29.8539
15765,2024-03-08,30.0
62276,2024-02-05,29.7897
279793,2023-10-17,30.0
285848,2023-10-20,30.0
116821,2024-01-17,30.0
159592,2023-12-05,30.0
72904,2024-02-13,29.8398
145097,2024-01-29,30.0
131839,2024-01-23,29.7822
238745,2023-11-23,30.0
254404,2023-10-03,29.8842
59425,2024-02-03,30.0
14036,2024-03-07,30.0
71834,2024-02-12,30.0
290734,2023-10-24,30.0
244111,2023-11-26,29.799300000000002
58099,2024-02-02,29.872500000000002
16786,2024-03-09,30.0
59541,2024-02-03,29.8383
119940,2024-01-18,29.8944
296335,2023-10-26,30.0
116828,2024-01-17,29.8413
134748,2024-01-24,30.0
247795,2023-11-29,30.0
23129,2024-03-12,29.8404
119420,2024-01-18,30.0
175781,2023-12-14,30.0
189874,2023-12-23,30.0
205453,2024-01-04,30.0
173629,2023-12-13,30.0
190870,2023-12-23,30.0
15318,2024-03-08,30.0
185396,2023-12-20,30.0
301860,2023-10-28,30.0
293122,2023-10-24,30.0
281650,2023-10-17,30.0
158559,2023-12-04,30.0
73854,2024-02-13,30.0
118646,2024-01-18,30.0
193059,2023-12-25,30.0
273344,2023-10-13,30.0
222795,2023-11-12,29.7816
242940,2023-11-26,30.0
70046,2024-02-11,30.0
275557,2023-10-14,29.892599999999998
269953,2023-10-11,30.0
232729,2023-11-19,30.0
246981,2023-11-28,30.0
30058,2024-03-17,30.0
20221,2024-03-11,29.8083
61618,2024-02-05,29.8662
50196,2024-03-28,29.889
157086,2023-12-06,30.0
46133,2024-03-26,30.0
298227,2023-10-26,30.0
70006,2024-02-11,30.0
118663,2024-01-18,29.828400000000002
153005,2024-02-01,30.0
15429,2024-03-08,30.0
197264,2023-12-27,29.840100000000003
21686,2024-03-12,30.0
147216,2024-01-30,30.0
9432,2024-03-05,30.0
246076,2023-11-28,29.7888
217428,2023-11-09,30.0
278230,2023-10-17,30.0
134412,2024-01-24,30.0
212744,2023-11-06,30.0
306158,2023-10-31,29.786700000000003
129403,2024-01-25,30.0
107400,2024-01-13,30.0
275933,2023-10-15,30.0
235381,2023-11-21,30.0
298382,2023-10-27,29.846700000000002
95012,2024-02-28,30.0
126428,2024-01-21,30.0
71801,2024-02-12,30.0
75108,2024-02-14,29.8419
241026,2023-11-24,30.0
111523,2024-01-18,30.0
301520,2023-10-28,30.0
172461,2023-12-12,30.0
240429,2023-11-24,30.0
240434,2023-11-24,30.0
85447,2024-02-21,30.0
242436,2023-11-25,30.0
201480,2023-12-31,30.0
147754,2024-01-30,30.0
307199,2023-11-01,30.0
122743,2024-01-19,30.0
261581,2023-10-07,29.7858
92275,2024-02-26,30.0
75666,2024-02-15,30.0
169393,2023-12-13,30.0
250454,2023-12-04,30.0
181363,2023-12-18,29.8647
119734,2024-01-18,30.0
248415,2023-11-29,30.0
113516,2024-01-16,29.7927
186473,2023-12-21,30.0
230059,2023-11-17,29.7936
293656,2023-10-24,30.0
253895,2023-10-03,30.0
78450,2024-02-16,30.0
195828,2023-12-26,30.0
46474,2024-03-26,29.8644
298352,2023-10-27,30.0
93966,2024-02-28,30.0
169682,2023-12-11,30.0
216283,2023-11-08,29.772
48101,2024-03-27,30.0
210188,2023-11-04,30.0
306944,2023-10-31,30.0
169685,2023-12-11,29.7789
249468,2023-11-30,30.0
235143,2023-11-20,30.0
160866,2023-12-06,30.0
121523,2024-01-19,30.0
34167,2024-03-19,29.8431
186999,2023-12-21,30.0
86064,2024-02-22,30.0
177166,2023-12-15,29.848799999999997
18257,2024-03-10,29.8944
10503,2024-03-05,30.0
98580,2024-01-10,30.0
40069,2024-03-22,30.0
235906,2023-11-21,29.8308
183618,2023-12-19,30.0
145514,2024-01-29,30.0
75854,2024-02-15,29.811
71350,2024-02-12,30.0
154515,2023-12-03,29.857499999999998
27452,2024-03-15,30.0
124065,2024-01-21,29.8995
283320,2023-10-21,30.0
162314,2023-12-06,30.0
133416,2024-01-24,30.0
205089,2024-01-01,30.0
193601,2023-12-25,30.0
83751,2024-02-20,30.0
8123,2024-03-04,30.0
280980,2023-10-17,30.0
285264,2023-10-19,30.0
97804,2024-03-03,29.8986
295681,2023-10-25,30.0
68826,2024-02-10,30.0
58161,2024-02-02,29.7882
114130,2024-01-16,30.0
276726,2023-10-15,30.0
168204,2023-12-10,29.762700000000002
12853,2024-03-07,30.0
4074,2024-03-02,30.0
121060,2024-01-19,29.7624
219066,2023-11-10,30.0
150643,2024-02-02,30.0
105103,2024-01-12,29.833499999999997
186969,2023-12-21,30.0
227135,2023-11-15,30.0
250281,2023-11-30,30.0
242182,2023-11-25,30.0
264908,2023-10-09,30.0
208143,2023-11-03,30.0
114204,2024-01-18,30.0
216506,2023-11-08,30.0
78942,2024-02-17,29.8548
34908,2024-03-19,30.0
245506,2023-11-29,30.0
144852,2024-01-29,30.0
62736,2024-02-05,30.0
300435,2023-10-28,30.0
228128,2023-11-16,30.0
19333,2024-03-10,30.0
58557,2024-02-03,30.0
11420,2024-03-06,30.0
107501,2024-01-16,30.0
88319,2024-02-23,30.0
105541,2024-01-12,30.0
209730,2023-11-04,30.0
90560,2024-02-25,30.0
116591,2024-01-17,30.0
304559,2023-10-30,30.0
236955,2023-11-22,29.8254
268234,2023-10-10,30.0
266687,2023-10-12,30.0
296048,2023-10-25,30.0
144801,2024-01-29,29.821800000000003
88701,2024-02-24,30.0
166892,2023-12-09,30.0
177940,2023-12-16,30.0
66588,2024-02-08,30.0
181372,2023-12-18,30.0
163562,2023-12-07,30.0
150914,2024-01-31,30.0
31746,2024-03-21,30.0
49984,2024-03-28,30.0
134444,2024-01-26,30.0
237968,2023-11-22,29.8155
41813,2024-03-23,29.8317
20460,2024-03-11,30.0
191017,2023-12-23,29.7792
284373,2023-10-19,29.890800000000002
59931,2024-02-05,30.0
216061,2023-11-08,30.0
180863,2023-12-17,30.0
176332,2023-12-15,30.0
7238,2024-03-03,30.0
160481,2023-12-05,30.0
245957,2023-11-27,30.0
224783,2023-11-14,29.886
86868,2024-02-22,29.7816
88407,2024-02-23,29.7864
35449,2024-03-23,30.0
252620,2023-10-02,30.0
76088,2024-02-15,30.0
195462,2023-12-27,30.0
285012,2023-10-19,30.0
5177,2024-03-02,30.0
303172,2023-10-29,30.0
155243,2023-12-02,30.0
291204,2023-10-23,30.0
70611,2024-02-11,30.0
296751,2023-10-27,30.0
284816,2023-10-19,30.0
224634,2023-11-13,30.0
211141,2023-11-08,29.9001
134400,2024-01-24,30.0
246380,2023-11-30,30.0
191001,2023-12-23,30.0
90514,2024-02-27,30.0
303210,2023-10-31,30.0
233220,2023-11-19,30.0
166668,2023-12-09,30.0
64149,2024-02-06,30.0
169267,2023-12-11,29.8935
41719,2024-03-23,30.0
230447,2023-11-17,30.0
75577,2024-02-14,29.8245
127388,2024-01-21,29.890800000000002
23973,2024-03-16,29.8587
136364,2024-01-26,30.0
111337,2024-01-15,30.0
99666,2024-01-12,30.0
74142,2024-02-14,30.0
136404,2024-01-25,29.796
82614,2024-02-19,29.8623
193813,2023-12-25,30.0
265861,2023-10-09,30.0
93337,2024-03-01,30.0
269375,2023-10-14,30.0
228660,2023-11-16,30.0
253756,2023-10-03,30.0
92884,2024-02-27,29.8461
308117,2023-11-02,30.0
28671,2024-03-16,29.8827
260533,2023-10-06,30.0
271498,2023-10-15,30.0
231735,2023-11-21,29.7747
147966,2024-01-30,30.0
36336,2024-03-20,30.0
153058,2024-02-01,30.0
131199,2024-01-23,30.0
134818,2024-01-24,30.0
68582,2024-02-10,30.0
5185,2024-03-02,30.0
189760,2023-12-23,30.0
101758,2024-01-11,30.0
45516,2024-03-26,30.0
79760,2024-02-17,30.0
48192,2024-03-27,30.0
92087,2024-02-26,30.0
131797,2024-01-23,30.0
285480,2023-10-19,29.8914
301965,2023-10-28,30.0
42544,2024-03-24,29.7639
263945,2023-10-08,29.8539
173314,2023-12-13,30.0
120712,2024-01-19,30.0
251727,2023-12-01,30.0
261971,2023-10-10,30.0
106041,2024-01-13,29.904
212196,2023-11-08,29.8875
18507,2024-03-10,30.0
61009,2024-02-04,29.7732
89822,2024-02-25,30.0
25602,2024-03-14,29.8257
196810,2023-12-27,30.0
252958,2023-10-05,30.0
226443,2023-11-17,30.0
41251,2024-03-23,30.0
149452,2024-01-31,29.8557
274503,2023-10-14,30.0
28515,2024-03-16,30.0
130336,2024-01-25,30.0
102882,2024-01-11,30.0
67287,2024-02-09,29.8173
199113,2023-12-28,29.816100000000002
173080,2023-12-13,30.0
107278,2024-01-13,30.0
106454,2024-01-13,30.0
38160,2024-03-21,29.7618
284560,2023-10-19,30.0
256909,2023-10-04,30.0
64995,2024-02-07,30.0
233330,2023-11-19,29.813699999999997
270752,2023-10-12,30.0
168060,2023-12-10,30.0
30032,2024-03-19,29.8794
222139,2023-11-12,30.0
163486,2023-12-07,30.0
198842,2023-12-28,30.0
269090,2023-10-11,30.0
296839,2023-10-28,30.0
167684,2023-12-10,30.0
239814,2023-11-24,29.8746
170329,2023-12-11,30.0
172227,2023-12-12,30.0
260551,2023-10-06,30.0
235455,2023-11-21,29.8566
133924,2024-01-27,30.0
7918,2024-03-04,30.0
73096,2024-02-13,29.8914
98726,2024-01-10,29.811600000000002
21563,2024-03-12,30.0
187957,2023-12-22,30.0
225424,2023-11-14,30.0
220408,2023-11-13,30.0
228479,2023-11-16,30.0
208162,2023-11-03,29.8569
52298,2024-04-02,30.0
184691,2023-12-20,30.0
73437,2024-02-13,30.0
118161,2024-01-18,30.0
161616,2023-12-06,30.0
277614,2023-10-15,30.0
294842,2023-10-25,30.0
254914,2023-10-03,29.8551
136250,2024-01-25,30.0
169784,2023-12-11,30.0
193031,2023-12-25,30.0
150521,2024-01-31,29.8536
197835,2023-12-28,30.0
173614,2023-12-13,30.0
69787,2024-02-10,30.0
154342,2023-12-02,30.0
39367,2024-03-22,30.0
203430,2023-12-31,29.8494
59630,2024-02-03,30.0
236960,2023-11-23,30.0
249537,2023-11-30,30.0
221893,2023-11-13,30.0
96594,2024-02-29,30.0
239822,2023-11-26,30.0
294744,2023-10-25,29.8056
262091,2023-10-07,30.0
188957,2023-12-22,30.0
68120,2024-02-09,30.0
45051,2024-03-25,30.0
52097,2024-03-30,30.0
92980,2024-02-27,30.0
209547,2023-11-03,30.0
286449,2023-10-20,30.0
220134,2023-11-14,30.0
31181,2024-03-17,29.8677
109949,2024-01-15,29.778000000000002
143252,2024-01-28,30.0
49920,2024-03-28,30.0
143106,2024-01-28,30.0
46172,2024-03-26,30.0
163881,2023-12-07,30.0
37635,2024-03-21,29.839199999999998
276401,2023-10-15,30.0
132773,2024-01-24,30.0
281900,2023-10-18,30.0
155117,2023-12-02,30.0
162838,2023-12-09,30.0
176293,2023-12-15,30.0
208039,2023-11-02,30.0
210457,2023-11-04,30.0
154952,2023-12-02,30.0
226599,2023-11-15,30.0
34750,2024-03-22,30.0
307803,2023-11-01,29.8047
182381,2023-12-18,29.8431
72393,2024-02-12,30.0
288005,2023-10-24,30.0
266813,2023-10-10,29.8509
127312,2024-01-23,30.0
135801,2024-01-25,30.0
95592,2024-02-29,30.0
187339,2023-12-21,30.0
58182,2024-02-02,30.0
58981,2024-02-03,30.0
139016,2024-01-26,29.831999999999997
159616,2023-12-05,30.0
109470,2024-01-14,30.0
163737,2023-12-08,29.7609
221380,2023-11-11,30.0
257430,2023-10-05,29.7744
76678,2024-02-15,29.8764
124978,2024-01-20,30.0
112749,2024-01-15,30.0
217521,2023-11-10,30.0
237945,2023-11-23,30.0
26863,2024-03-15,30.0
101428,2024-01-11,30.0
259306,2023-10-06,30.0
132555,2024-01-24,30.0
13136,2024-03-07,30.0
111598,2024-01-15,30.0
82897,2024-02-20,30.0
217356,2023-11-09,30.0
186192,2023-12-21,30.0
231280,2023-11-18,30.0
187911,2023-12-22,30.0
166261,2023-12-09,30.0
58782,2024-02-03,30.0
209824,2023-11-04,30.0
200042,2023-12-29,30.0
299634,2023-10-27,30.0
91825,2024-02-26,30.0
78139,2024-02-16,29.9034
273169,2023-10-13,30.0
245455,2023-11-27,30.0
8965,2024-03-04,30.0
184659,2023-12-20,30.0
196558,2023-12-27,30.0
295964,2023-10-25,30.0
195985,2023-12-26,30.0
69848,2024-02-11,30.0
277976,2023-10-16,30.0
256783,2023-10-04,30.0
14658,2024-03-08,30.0
208604,2023-11-03,29.796300000000002
93825,2024-02-27,30.0
69157,2024-02-10,30.0
210414,2023-11-04,30.0
102183,2024-01-12,30.0
92335,2024-02-27,30.0
272542,2023-10-13,30.0
207309,2023-11-02,30.0
263628,2023-10-08,30.0
219925,2023-11-10,30.0
87589,2024-02-25,30.0
238868,2023-11-23,30.0
263649,2023-10-08,30.0
201358,2023-12-29,30.0
304606,2023-10-30,29.847299999999997
30952,2024-03-20,30.0
272648,2023-10-13,30.0
69689,2024-02-10,30.0
308932,2023-11-04,29.8302
16188,2024-03-08,30.0
118473,2024-01-18,30.0
74813,2024-02-14,30.0
68934,2024-02-10,30.0
221958,2023-11-12,30.0
205907,2024-01-01,30.0
195758,2023-12-26,29.7633
58134,2024-02-05,29.8032
204460,2023-12-31,30.0
296563,2023-10-26,30.0
65796,2024-02-08,29.9073
27548,2024-03-15,29.891099999999998
135457,2024-01-25,29.811
164654,2023-12-08,30.0
270807,2023-10-12,30.0
53661,2024-03-30,30.0
114741,2024-01-17,30.0
129416,2024-01-22,30.0
283809,2023-10-22,30.0
183431,2023-12-19,29.867099999999997
98158,2024-03-02,30.0
109363,2024-01-14,30.0
281834,2023-10-19,30.0
58051,2024-02-02,30.0
88401,2024-02-23,29.8383
223310,2023-11-13,30.0
148107,2024-01-30,30.0
302237,2023-10-29,30.0
293358,2023-10-24,30.0
124771,2024-01-23,30.0
212466,2023-11-05,30.0
269958,2023-10-11,30.0
48300,2024-03-27,30.0
238483,2023-11-23,30.0
223471,2023-11-13,29.7936
143997,2024-01-28,30.0
198584,2023-12-30,30.0
255781,2023-10-04,30.0
64632,2024-02-07,30.0
157528,2023-12-05,30.0
275101,2023-10-14,29.874000000000002
77317,2024-02-16,30.0
167309,2023-12-09,29.904
215136,2023-11-07,30.0
85619,2024-02-21,30.0
171546,2023-12-12,30.0
8615,2024-03-04,30.0
24756,2024-03-13,30.0
147474,2024-01-30,30.0
288315,2023-10-21,30.0
21441,2024-03-11,30.0
299988,2023-10-28,29.8257
176930,2023-12-15,30.0
28481,2024-03-16,29.8986
114196,2024-01-16,30.0
65956,2024-02-08,30.0
286587,2023-10-20,30.0
279990,2023-10-17,29.857499999999998
124501,2024-01-20,29.8566
284071,2023-10-19,30.0
267621,2023-10-10,30.0
307435,2023-11-01,30.0
52150,2024-03-30,30.0
61375,2024-02-04,30.0
21343,2024-03-11,30.0
6787,2024-03-04,30.0
93208,2024-02-27,30.0
248575,2023-11-29,30.0
194818,2023-12-26,29.813699999999997
254881,2023-10-03,30.0
236383,2023-11-21,30.0
289799,2023-10-22,30.0
211591,2023-11-05,30.0
71327,2024-02-12,30.0
232732,2023-11-19,30.0
202255,2023-12-30,30.0
173864,2023-12-13,30.0
147781,2024-01-30,30.0
304247,2023-10-30,30.0
130964,2024-01-23,30.0
39295,2024-03-22,30.0
223933,2023-11-15,30.0
80548,2024-02-18,30.0
203367,2023-12-31,30.0
152152,2024-02-03,30.0
196821,2023-12-27,30.0
269256,2023-10-11,30.0
139540,2024-01-26,30.0
301622,2023-10-28,30.0
60975,2024-02-04,30.0
172642,2023-12-13,30.0
221247,2023-11-11,30.0
219532,2023-11-10,30.0
203759,2023-12-31,30.0
267921,2023-10-10,30.0
277788,2023-10-16,30.0
104951,2024-01-14,29.784299999999998
136298,2024-01-25,30.0
246450,2023-11-29,30.0
145665,2024-01-29,29.8938
268792,2023-10-11,29.8017
17598,2024-03-09,30.0
207794,2023-11-02,30.0
155859,2023-12-03,29.766
53519,2024-03-30,30.0
85317,2024-02-21,30.0
203800,2023-12-31,30.0
90291,2024-02-25,30.0
61915,2024-02-05,30.0
281384,2023-10-17,29.7789
9777,2024-03-05,30.0
154264,2023-12-02,30.0
261986,2023-10-07,30.0
229130,2023-11-16,30.0
27086,2024-03-15,30.0
17336,2024-03-09,29.868599999999997
203412,2024-01-02,30.0
266085,2023-10-09,30.0
16614,2024-03-09,30.0
34975,2024-03-19,30.0
16700,2024-03-09,30.0
216728,2023-11-08,30.0
30611,2024-03-17,30.0
72843,2024-02-13,30.0
270106,2023-10-11,30.0
196699,2023-12-27,30.0
41123,2024-03-23,30.0
242948,2023-11-26,30.0
224666,2023-11-13,30.0
5520,2024-03-02,29.838
100419,2024-01-10,30.0
145510,2024-01-29,29.8254
229028,2023-11-16,30.0
252625,2023-10-02,29.8395
160391,2023-12-05,30.0
264653,2023-10-11,30.0
276121,2023-10-18,30.0
133142,2024-01-24,30.0
196246,2023-12-27,30.0
288618,2023-10-21,30.0
150032,2024-01-31,29.769
230808,2023-11-20,30.0
245294,2023-11-27,30.0
294295,2023-10-24,30.0
251354,2023-12-01,30.0
288593,2023-10-21,30.0
61149,2024-02-04,30.0
85012,2024-02-21,30.0
251900,2023-10-02,30.0
203608,2023-12-31,30.0
174795,2023-12-14,30.0
261461,2023-10-10,30.0
41131,2024-03-23,30.0
134689,2024-01-24,30.0
14073,2024-03-07,30.0
288486,2023-10-23,30.0
116445,2024-01-17,30.0
112251,2024-01-15,30.0
231551,2023-11-18,30.0
244472,2023-11-26,30.0
305445,2023-10-30,30.0
11456,2024-03-06,30.0
161892,2023-12-06,30.0
12625,2024-03-06,30.0
229791,2023-11-17,30.0
199801,2023-12-29,30.0
158761,2023-12-04,30.0
277331,2023-10-15,30.0
47886,2024-03-27,30.0
140575,2024-01-27,30.0
20833,2024-03-12,30.0
301224,2023-10-28,30.0
207930,2023-11-05,30.0
57787,2024-02-02,30.0
268182,2023-10-10,30.0
159535,2023-12-05,30.0
14400,2024-03-07,30.0
145155,2024-01-29,30.0
116300,2024-01-17,30.0
220660,2023-11-11,30.0
308081,2023-11-01,30.0
111840,2024-01-15,30.0
107750,2024-01-13,30.0
113334,2024-01-16,30.0
195075,2023-12-26,30.0
29918,2024-03-16,30.0
193572,2023-12-27,30.0
303792,2023-10-29,30.0
96341,2024-02-29,30.0
5780,2024-03-03,30.0
183086,2023-12-19,30.0
132124,2024-01-23,30.0
185407,2023-12-20,30.0
94569,2024-03-02,30.0
165907,2023-12-09,30.0
159934,2023-12-05,30.0
117209,2024-01-17,30.0
92792,2024-03-01,30.0
159799,2023-12-05,30.0
264945,2023-10-09,30.0
200270,2023-12-29,30.0
38092,2024-03-23,30.0
97340,2024-03-01,30.0
147843,2024-01-30,30.0
91038,2024-02-25,30.0
186829,2023-12-21,30.0
38247,2024-03-21,29.8197
212052,2023-11-05,30.0
141349,2024-01-27,30.0
257118,2023-10-04,30.0
67862,2024-02-09,30.0
154771,2023-12-02,30.0
91899,2024-02-26,30.0
154203,2023-12-02,30.0
88055,2024-02-24,30.0
192601,2023-12-24,30.0
169008,2023-12-10,30.0
252815,2023-10-02,29.8905
152642,2024-02-01,29.8755
292982,2023-10-24,30.0
110268,2024-01-14,29.8215
258659,2023-10-05,30.0
8346,2024-03-04,30.0
231456,2023-11-18,30.0
168572,2023-12-10,30.0
247281,2023-11-28,30.0
292735,2023-10-24,30.0
128305,2024-01-22,29.8428
19440,2024-03-10,30.0
128844,2024-01-22,30.0
153531,2024-02-01,30.0
231490,2023-11-18,30.0
303030,2023-10-29,29.8443
285251,2023-10-19,30.0
106185,2024-01-13,29.813100000000002
80774,2024-02-18,30.0
226331,2023-11-15,30.0
210252,2023-11-04,30.0
295072,2023-10-25,30.0
69275,2024-02-10,30.0
218532,2023-11-09,30.0
297143,2023-10-28,29.8923
106225,2024-01-16,29.775599999999997
206587,2023-11-02,29.875799999999998
85933,2024-02-22,29.8938
222077,2023-11-12,29.7876
85156,2024-02-21,30.0
9996,2024-03-05,29.895599999999998
99515,2024-01-13,30.0
78098,2024-02-16,30.0
283889,2023-10-19,30.0
286949,2023-10-20,30.0
7642,2024-03-04,30.0
304870,2023-10-30,30.0
122738,2024-01-19,30.0
111268,2024-01-15,30.0
125310,2024-01-21,29.85
221977,2023-11-12,29.872500000000002
5010,2024-03-04,30.0
197371,2023-12-27,30.0
195147,2023-12-26,30.0
16224,2024-03-08,30.0
5262,2024-03-02,29.8155
274085,2023-10-16,30.0
89506,2024-02-24,30.0
202187,2023-12-30,30.0
144292,2024-01-28,30.0
117014,2024-01-17,30.0
39944,2024-03-22,30.0
170735,2023-12-11,30.0
8279,2024-03-04,30.0
170601,2023-12-11,29.8389
28717,2024-03-16,30.0
21559,2024-03-12,30.0
303894,2023-10-30,30.0
16910,2024-03-09,30.0
135758,2024-01-25,30.0
65181,2024-02-08,30.0
138780,2024-01-26,30.0
42516,2024-03-25,30.0
32022,2024-03-18,29.8395
182100,2023-12-18,30.0
264792,2023-10-09,30.0
193718,2023-12-27,29.8938
213045,2023-11-06,30.0
300726,2023-10-31,30.0
10441,2024-03-05,30.0
138679,2024-01-26,30.0
226239,2023-11-15,30.0
158415,2023-12-04,30.0
63902,2024-02-06,30.0
218122,2023-11-09,30.0
285504,2023-10-20,29.8731
52033,2024-03-29,30.0
12522,2024-03-06,30.0
240105,2023-11-24,30.0
89302,2024-02-24,30.0
265622,2023-10-09,30.0
196483,2023-12-27,30.0
66965,2024-02-08,30.0
106382,2024-01-13,30.0
22716,2024-03-12,29.868000000000002
295389,2023-10-26,30.0
125377,2024-01-24,30.0
223105,2023-11-12,30.0
300757,2023-10-28,30.0
118722,2024-01-18,29.8815
162177,2023-12-06,30.0
153469,2024-02-01,30.0
139356,2024-01-26,29.7699
151654,2024-02-01,30.0
150845,2024-01-31,29.7792
283778,2023-10-19,29.8296
196988,2023-12-30,30.0
297568,2023-10-26,30.0
300043,2023-10-27,30.0
214405,2023-11-07,30.0
281523,2023-10-17,30.0
14086,2024-03-08,30.0
218480,2023-11-09,29.778599999999997
41242,2024-03-23,30.0
235929,2023-11-21,30.0
265943,2023-10-09,30.0
101687,2024-01-11,30.0
192135,2023-12-24,29.8398
298160,2023-10-26,30.0
89628,2024-02-24,29.8065
143351,2024-01-28,30.0
263387,2023-10-08,30.0
22139,2024-03-12,30.0
112067,2024-01-15,30.0
57310,2024-02-02,30.0
224100,2023-11-13,30.0
146107,2024-01-29,30.0
179125,2023-12-17,30.0
98179,2024-03-01,30.0
184796,2023-12-20,30.0
99487,2024-01-10,30.0
138545,2024-01-26,30.0
214401,2023-11-07,29.887800000000002
248099,2023-11-29,29.9007
167537,2023-12-10,29.8914
270253,2023-10-11,29.7906
124644,2024-01-20,30.0
67460,2024-02-09,30.0
288683,2023-10-21,29.7909
40460,2024-03-23,30.0
16468,2024-03-10,30.0
247957,2023-11-29,30.0
119953,2024-01-19,30.0
258755,2023-10-05,30.0
234493,2023-11-20,30.0
270860,2023-10-12,30.0
136411,2024-01-25,30.0
187418,2023-12-21,30.0
29219,2024-03-16,29.823300000000003
13941,2024-03-07,30.0
189742,2023-12-23,30.0
232013,2023-11-18,29.907
69248,2024-02-10,30.0
264311,2023-10-08,30.0
59803,2024-02-03,30.0
150453,2024-01-31,30.0
274542,2023-10-14,30.0
251267,2023-12-01,29.829900000000002
176817,2023-12-18,30.0
102007,2024-01-11,30.0
129922,2024-01-22,30.0
104801,2024-01-12,30.0
217102,2023-11-09,30.0
